"apt","low","low","1.8.2.3",,false,"## NVD Description
**_Note:_** _Versions mentioned in the description apply to the upstream `apt` package._

It was found that apt-key in apt, all versions, do not correctly validate gpg keys with the master keyring, leading to a potential man-in-the-middle attack.
## Remediation
There is no fixed version for `Debian:10` `apt`.
## References
- [Debian Bug Report](https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=642480)
- [Debian Security Tracker](https://security-tracker.debian.org/tracker/CVE-2011-3374)
- [MISC](https://people.canonical.com/~ubuntu-security/cve/2011/CVE-2011-3374.html)
- [MISC](https://seclists.org/fulldisclosure/2011/Sep/221)
- [MISC](https://snyk.io/vuln/SNYK-LINUX-APT-116518)
- [MISC](https://ubuntu.com/security/CVE-2011-3374)
- [RedHat CVE Database](https://access.redhat.com/security/cve/cve-2011-3374)
","docker-image|tykio/tyk-gateway@v3.2","CVE-2011-3374"
"bash","low","low","5.0-4",,false,"## NVD Description
**_Note:_** _Versions mentioned in the description apply to the upstream `bash` package._

An issue was discovered in disable_priv_mode in shell.c in GNU Bash through 5.0 patch 11. By default, if Bash is run with its effective UID not equal to its real UID, it will drop privileges by setting its effective UID to its real UID. However, it does so incorrectly. On Linux and other systems that support &#34;saved UID&#34; functionality, the saved UID is not dropped. An attacker with command execution in the shell can use &#34;enable -f&#34; for runtime loading of a new builtin, which can be a shared object that calls setuid() and therefore regains privileges. However, binaries running with an effective UID of 0 are unaffected.
## Remediation
There is no fixed version for `Debian:10` `bash`.
## References
- [CONFIRM](https://security.netapp.com/advisory/ntap-20200430-0003/)
- [Debian Security Tracker](https://security-tracker.debian.org/tracker/CVE-2019-18276)
- [GENTOO](https://security.gentoo.org/glsa/202105-34)
- [GitHub Commit](https://github.com/bminor/bash/commit/951bdaad7a18cc0dc1036bba86b18b90874d39ff)
- [MISC](http://packetstormsecurity.com/files/155498/Bash-5.0-Patch-11-Privilege-Escalation.html)
- [MISC](https://www.youtube.com/watch?v=-wGtxJ8opa8)
- [MLIST](https://lists.apache.org/thread.html/rf9fa47ab66495c78bb4120b0754dd9531ca2ff0430f6685ac9b07772@%3Cdev.mina.apache.org%3E)
- [Ubuntu CVE Tracker](http://people.ubuntu.com/~ubuntu-security/cve/CVE-2019-18276)
- [MISC](https://www.oracle.com/security-alerts/cpuapr2022.html)
- [Exploit DB](https://www.exploit-db.com/exploits/47726)
","docker-image|tykio/tyk-gateway@v3.2","CVE-2019-18276"
"coreutils","low","low","8.30-3",,false,"## NVD Description
**_Note:_** _Versions mentioned in the description apply to the upstream `coreutils` package._

In GNU Coreutils through 8.29, chown-core.c in chown and chgrp does not prevent replacement of a plain file with a symlink during use of the POSIX &#34;-R -L&#34; options, which allows local users to modify the ownership of arbitrary files by leveraging a race condition.
## Remediation
There is no fixed version for `Debian:10` `coreutils`.
## References
- [CVE Details](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2017-18018)
- [Debian Security Tracker](https://security-tracker.debian.org/tracker/CVE-2017-18018)
- [http://lists.gnu.org/archive/html/coreutils/2017-12/msg00045.html](http://lists.gnu.org/archive/html/coreutils/2017-12/msg00045.html)
","docker-image|tykio/tyk-gateway@v3.2","CVE-2017-18018"
"curl","low","low","7.64.0-4+deb10u2",,false,"## NVD Description
_This vulnerability has not been analyzed by NVD yet._

## Remediation
There is no fixed version for `Debian:10` `curl`.
## References
- [ADVISORY](https://security-tracker.debian.org/tracker/CVE-2022-35252)
","docker-image|tykio/tyk-gateway@v3.2","CVE-2022-35252"
"db5.3","low","low","5.3.28+dfsg1-0.5",,false,"## NVD Description
**_Note:_** _Versions mentioned in the description apply to the upstream `db5.3` package._

SQLite3 from 3.6.0 to and including 3.27.2 is vulnerable to heap out-of-bound read in the rtreenode() function when handling invalid rtree tables.
## Remediation
There is no fixed version for `Debian:10` `db5.3`.
## References
- [CVE Details](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2019-8457)
- [Debian Security Tracker](https://security-tracker.debian.org/tracker/CVE-2019-8457)
- [Fedora Security Update](https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/OPKYSWCOM3CL66RI76TYVIG6TJ263RXH/)
- [Fedora Security Update](https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/SJPFGA45DI4F5MCF2OAACGH3HQOF4G3M/)
- [MISC](https://www.oracle.com/security-alerts/cpujan2020.html)
- [MISC](https://www.oracle.com/security-alerts/cpujul2020.html)
- [MISC](https://www.sqlite.org/releaselog/3_28_0.html)
- [MISC](https://www.sqlite.org/src/info/90acdbfce9c08858)
- [N/A](https://www.oracle.com/security-alerts/cpuapr2020.html)
- [Netapp Security Advisory](https://security.netapp.com/advisory/ntap-20190606-0002/)
- [OpenSuse Security Announcement](http://lists.opensuse.org/opensuse-security-announce/2019-06/msg00074.html)
- [Oracle Security Advisory](https://www.oracle.com/technetwork/security-advisory/cpuoct2019-5072832.html)
- [Ubuntu CVE Tracker](http://people.ubuntu.com/~ubuntu-security/cve/CVE-2019-8457)
- [Ubuntu Security Advisory](https://usn.ubuntu.com/4004-1/)
- [Ubuntu Security Advisory](https://usn.ubuntu.com/4004-2/)
- [Ubuntu Security Advisory](https://usn.ubuntu.com/4019-1/)
- [Ubuntu Security Advisory](https://usn.ubuntu.com/4019-2/)
- [CONFIRM](https://kc.mcafee.com/corporate/index?page=content&id=SB10365)
","docker-image|tykio/tyk-gateway@v3.2","CVE-2019-8457"
"dpkg","critical","critical","1.19.7",,false,"## NVD Description
**_Note:_** _Versions mentioned in the description apply to the upstream `dpkg` package._
_See `How to fix?` for `Debian:10` relevant versions._

Dpkg::Source::Archive in dpkg, the Debian package management system, before version 1.21.8, 1.20.10, 1.19.8, 1.18.26 is prone to a directory traversal vulnerability. When extracting untrusted source packages in v2 and v3 source package formats that include a debian.tar, the in-place extraction can lead to directory traversal situations on specially crafted orig.tar and debian.tar tarballs.
## Remediation
Upgrade `Debian:10` `dpkg` to version 1.19.8 or higher.
## References
- [ADVISORY](https://security-tracker.debian.org/tracker/CVE-2022-1664)
- [MISC](https://lists.debian.org/debian-security-announce/2022/msg00115.html)
- [MISC](https://git.dpkg.org/cgit/dpkg/dpkg.git/commit/?id=faa4c92debe45412bfcf8a44f26e827800bb24be)
- [MISC](https://git.dpkg.org/cgit/dpkg/dpkg.git/commit/?id=7a6c03cb34d4a09f35df2f10779cbf1b70a5200b)
- [MISC](https://lists.debian.org/debian-lts-announce/2022/05/msg00033.html)
- [MISC](https://git.dpkg.org/cgit/dpkg/dpkg.git/commit/?id=58814cacee39c4ce9e2cd0e3a3b9b57ad437eff5)
- [MISC](https://git.dpkg.org/cgit/dpkg/dpkg.git/commit/?id=1f23dddc17f69c9598477098c7fb9936e15fa495)
","docker-image|tykio/tyk-gateway@v3.2","CVE-2022-1664"
"e2fsprogs","low","low","1.44.5-1+deb10u3",,false,"## NVD Description
**_Note:_** _Versions mentioned in the description apply to the upstream `e2fsprogs` package._

An out-of-bounds read/write vulnerability was found in e2fsprogs 1.46.5. This issue leads to a segmentation fault and possibly arbitrary code execution via a specially crafted filesystem.
## Remediation
There is no fixed version for `Debian:10` `e2fsprogs`.
## References
- [ADVISORY](https://security-tracker.debian.org/tracker/CVE-2022-1304)
- [MISC](https://bugzilla.redhat.com/show_bug.cgi?id=2069726)
","docker-image|tykio/tyk-gateway@v3.2","CVE-2022-1304"
"expat","low","low","2.2.6-2+deb10u4",,false,"## NVD Description
**_Note:_** _Versions mentioned in the description apply to the upstream `expat` package._

expat 2.1.0 and earlier does not properly handle entities expansion unless an application developer uses the XML_SetEntityDeclHandler function, which allows remote attackers to cause a denial of service (resource consumption), send HTTP requests to intranet servers, or read arbitrary files via a crafted XML document, aka an XML External Entity (XXE) issue.  NOTE: it could be argued that because expat already provides the ability to disable external entity expansion, the responsibility for resolving this issue lies with application developers; according to this argument, this entry should be REJECTed, and each affected application would need its own CVE.
## Remediation
There is no fixed version for `Debian:10` `expat`.
## References
- [CONFIRM](https://support.apple.com/kb/HT212804)
- [CONFIRM](https://support.apple.com/kb/HT212805)
- [CONFIRM](https://support.apple.com/kb/HT212807)
- [CONFIRM](https://support.apple.com/kb/HT212814)
- [CONFIRM](https://support.apple.com/kb/HT212815)
- [CONFIRM](https://support.apple.com/kb/HT212819)
- [Debian Security Tracker](https://security-tracker.debian.org/tracker/CVE-2013-0340)
- [FULLDISC](http://seclists.org/fulldisclosure/2021/Sep/33)
- [FULLDISC](http://seclists.org/fulldisclosure/2021/Sep/34)
- [FULLDISC](http://seclists.org/fulldisclosure/2021/Sep/35)
- [FULLDISC](http://seclists.org/fulldisclosure/2021/Sep/38)
- [FULLDISC](http://seclists.org/fulldisclosure/2021/Sep/39)
- [FULLDISC](http://seclists.org/fulldisclosure/2021/Sep/40)
- [Gentoo Security Advisory](https://security.gentoo.org/glsa/201701-21)
- [http://securitytracker.com/id?1028213](http://securitytracker.com/id?1028213)
- [MLIST](https://lists.apache.org/thread.html/r41eca5f4f09e74436cbb05dec450fc2bef37b5d3e966aa7cc5fada6d@%3Cannounce.apache.org%3E)
- [MLIST](https://lists.apache.org/thread.html/rfb2c193360436e230b85547e85a41bea0916916f96c501f5b6fc4702@%3Cusers.openoffice.apache.org%3E)
- [MLIST](http://www.openwall.com/lists/oss-security/2021/10/07/4)
- [OSS security Advisory](http://openwall.com/lists/oss-security/2013/02/22/3)
- [OSS security Advisory](http://www.openwall.com/lists/oss-security/2013/04/12/6)
- [Security Focus](http://www.securityfocus.com/bid/58233)
- [FULLDISC](http://seclists.org/fulldisclosure/2021/Oct/61)
- [FULLDISC](http://seclists.org/fulldisclosure/2021/Oct/63)
- [FULLDISC](http://seclists.org/fulldisclosure/2021/Oct/62)
","docker-image|tykio/tyk-gateway@v3.2","CVE-2013-0340"
"gcc-8","low","low","1:8.3.0-6",,false,"## NVD Description
**_Note:_** _Versions mentioned in the description apply to the upstream `gcc-8` package._

The POWER9 backend in GNU Compiler Collection (GCC) before version 10 could optimize multiple calls of the __builtin_darn intrinsic into a single call, thus reducing the entropy of the random number generator. This occurred because a volatile operation was not specified. For example, within a single execution of a program, the output of every __builtin_darn() call may be the same.
## Remediation
There is no fixed version for `Debian:10` `gcc-8`.
## References
- [Debian Security Tracker](https://security-tracker.debian.org/tracker/CVE-2019-15847)
- [MISC](https://gcc.gnu.org/bugzilla/show_bug.cgi?id=91481)
- [OpenSuse Security Announcement](http://lists.opensuse.org/opensuse-security-announce/2019-10/msg00056.html)
- [OpenSuse Security Announcement](http://lists.opensuse.org/opensuse-security-announce/2019-10/msg00057.html)
- [SUSE](http://lists.opensuse.org/opensuse-security-announce/2020-05/msg00058.html)
","docker-image|tykio/tyk-gateway@v3.2","CVE-2019-15847"
"glibc","low","low","2.28-10+deb10u1",,false,"## NVD Description
**_Note:_** _Versions mentioned in the description apply to the upstream `glibc` package._

An exploitable signed comparison vulnerability exists in the ARMv7 memcpy() implementation of GNU glibc 2.30.9000. Calling memcpy() (on ARMv7 targets that utilize the GNU glibc implementation) with a negative value for the &#39;num&#39; parameter results in a signed comparison vulnerability. If an attacker underflows the &#39;num&#39; parameter to memcpy(), this vulnerability could lead to undefined behavior such as writing to out-of-bounds memory and potentially remote code execution. Furthermore, this memcpy() implementation allows for program execution to continue in scenarios where a segmentation fault or crash should have occurred. The dangers occur in that subsequent execution and iterations of this code will be executed with this corrupted data.
## Remediation
There is no fixed version for `Debian:10` `glibc`.
## References
- [Debian Security Tracker](https://security-tracker.debian.org/tracker/CVE-2020-6096)
- [FEDORA](https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/SPYXTDOOB4PQGTYAMZAZNJIB3FF6YQXI/)
- [FEDORA](https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/URXOIA2LDUKHQXK4BE55BQBRI6ZZG3Y6/)
- [GENTOO](https://security.gentoo.org/glsa/202101-20)
- [MISC](https://sourceware.org/bugzilla/show_bug.cgi?id=25620)
- [MISC](https://www.talosintelligence.com/vulnerability_reports/TALOS-2020-1019)
- [MLIST](https://lists.apache.org/thread.html/rf9fa47ab66495c78bb4120b0754dd9531ca2ff0430f6685ac9b07772@%3Cdev.mina.apache.org%3E)
","docker-image|tykio/tyk-gateway@v3.2","CVE-2020-6096"
